"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4807","createRoomInAdminPanel()","","Fri Jan 09 15:02:20 UTC 2026","failed","Fri Jan 09 15:02:25 UTC 2026","","org.autotests.ui.tests.automationintesting.AdminCanAddNewRoomTest","org.autotests.ui.tests.automationintesting.AdminCanAddNewRoomTest","createRoomInAdminPanel"
"","3505","deleteRoomInAdminPanel()","","Fri Jan 09 15:02:12 UTC 2026","passed","Fri Jan 09 15:02:15 UTC 2026","","org.autotests.ui.tests.automationintesting.AdminCanDeleteRoomTest","org.autotests.ui.tests.automationintesting.AdminCanDeleteRoomTest","deleteRoomInAdminPanel"
"","607","cannotSignUpWithEmptyFields()","","Fri Jan 09 15:01:46 UTC 2026","passed","Fri Jan 09 15:01:46 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","cannotSignUpWithEmptyFields"
"","299","userShouldBeCreatedSuccessfully()","","Fri Jan 09 15:01:38 UTC 2026","failed","Fri Jan 09 15:01:39 UTC 2026","","org.autotests.api.tests.UserTest","org.autotests.api.tests.UserTest","userShouldBeCreatedSuccessfully"
"","565","userShouldBeUpdatedSuccessfully()","","Fri Jan 09 15:01:38 UTC 2026","failed","Fri Jan 09 15:01:38 UTC 2026","","org.autotests.api.tests.UserTest","org.autotests.api.tests.UserTest","userShouldBeUpdatedSuccessfully"
"","4850","userShouldBeAbleToLoginSuccessfully()","","Fri Jan 09 15:02:15 UTC 2026","failed","Fri Jan 09 15:02:20 UTC 2026","","org.autotests.ui.tests.automationintesting.AdminPageTest","org.autotests.ui.tests.automationintesting.AdminPageTest","userShouldBeAbleToLoginSuccessfully"
"","2403","userShouldBeDeletedSuccessfully()","","Fri Jan 09 15:01:35 UTC 2026","failed","Fri Jan 09 15:01:38 UTC 2026","","org.autotests.api.tests.UserTest","org.autotests.api.tests.UserTest","userShouldBeDeletedSuccessfully"
"","10347","userCannotLoginWithInvalidCredentials()","","Fri Jan 09 15:01:48 UTC 2026","failed","Fri Jan 09 15:01:58 UTC 2026","","org.autotests.ui.tests.demoblaze.LoginTest","org.autotests.ui.tests.demoblaze.LoginTest","userCannotLoginWithInvalidCredentials"
"","10313","cannotLoginWithEmptyPassword()","","Fri Jan 09 15:01:59 UTC 2026","failed","Fri Jan 09 15:02:09 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeLoginTest","org.autotests.ui.tests.demoblaze.NegativeLoginTest","cannotLoginWithEmptyPassword"
"","181","userCanOpenHomePageAndSeeTitle()","","Fri Jan 09 15:02:09 UTC 2026","passed","Fri Jan 09 15:02:10 UTC 2026","","org.autotests.ui.tests.demoblaze.HomePageTest","org.autotests.ui.tests.demoblaze.HomePageTest","userCanOpenHomePageAndSeeTitle"
"","1866","userCanSignUpAndLoginSuccessfully()","","Fri Jan 09 15:01:46 UTC 2026","passed","Fri Jan 09 15:01:48 UTC 2026","","org.autotests.ui.tests.demoblaze.PositiveLoginTest","org.autotests.ui.tests.demoblaze.PositiveLoginTest","userCanSignUpAndLoginSuccessfully"
"","1814","cannotSignUpWithDuplicateUsername()","","Fri Jan 09 15:01:44 UTC 2026","passed","Fri Jan 09 15:01:46 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","cannotSignUpWithDuplicateUsername"
"","732","cannotLoginWithEmptyUsername()","","Fri Jan 09 15:01:58 UTC 2026","passed","Fri Jan 09 15:01:59 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeLoginTest","org.autotests.ui.tests.demoblaze.NegativeLoginTest","cannotLoginWithEmptyUsername"
"","2121","userShouldNotBeAbleToLoginWithInvalidCredentials()","","Fri Jan 09 15:02:10 UTC 2026","passed","Fri Jan 09 15:02:12 UTC 2026","","org.autotests.ui.tests.automationintesting.NegativeAdminPageTest","org.autotests.ui.tests.automationintesting.NegativeAdminPageTest","userShouldNotBeAbleToLoginWithInvalidCredentials"
"","4835","userCanLogoutSuccessfully()","","Fri Jan 09 15:01:39 UTC 2026","passed","Fri Jan 09 15:01:44 UTC 2026","","org.autotests.ui.tests.demoblaze.LogoutTest","org.autotests.ui.tests.demoblaze.LogoutTest","userCanLogoutSuccessfully"
"","274","userCanLoginSuccessfully()","","Fri Jan 09 15:01:39 UTC 2026","passed","Fri Jan 09 15:01:39 UTC 2026","","org.autotests.api.tests.LoginTest","org.autotests.api.tests.LoginTest","userCanLoginSuccessfully"
